Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
ARP,M,adult,915,91.5,652,14.99666667,NA,424,23,5/30/21,eye,22.3,33.7,,,,
BPPu,M,adult,708,70.8,236.2,12.77,NA,344.5,28,6/1/21,eye,23.6,21.8,,,,
BWB,M,adult,916,91.6,502.9,14.82,NA,378.6666667,26,5/29/21,eye,24.2,24.7,,,,
O1,F,adult,853,85.3,344.7,10.95333333,N,417.5,25,6/1/21,eye,23.4,24.4,,,,
PGA,M,adult,515,51.5,80.6,10.8,NA,436.5,18,5/23/21,eye,19.3,25,,,,
PPB,F,adult,NA,NA,NA,9.386666667,N ,414,23.5,5/31/21,eye,21.4,27.5,,,,
PPPu,F,adult,721,72.1,196.8,11.93666667,N,485,24,5/31/21,eye,21.7,27.3,,,,
PRP,F,adult,801,80.1,330.7,8.916666667,N,422,24,5/28/21,eye,23.7,19.5,,,,
PRPu,F,adult,855,85.5,445.5,14.51666667,N,381.6666667,26,6/1/21,eye,24,22.6,,,,
PRY,F,adult,769,76.9,365.7,5.855,N,383,22,5/27/21,eye,21.8,20,,,,
PuYW,M,adult,890,89,529.2,15.08,NA,380.5,24,5/28/21,eye,23.8,20.5,,,,
PuYY,M,adult,911,91.1,615.9,7.42,NA,NA,20,5/25/21,eye,19.4,24.3,,,,
PWA,F,adult,822,82.2,329.7,5.96,Y,370,20,5/25/21,eye,18.1,29.1,,,,
PWPu,F,adult,729,72.9,267.4,8.56,Y,387.5,23.5,5/31/21,eye,21.9,27,,,,
R1,F,adult,845,84.5,340.6,10.21,N,NA,22.5,5/30/21,eye,21.1,32,,,,
RBP,F,adult,868,86.8,325.6,4.24,N,383.5,22.5,5/28/21,eye,22.1,23.6,,,,
WBR,F,adult,825,82.5,283,2.62,N,370.3333333,22,5/27/21,eye,19.7,23.7,,,,
WGG,F,adult,843,84.3,323.6,5.03,N,403.5,22,5/27/21,eye,20.9,24.6,,,,
WPPu,F,adult,NA,NA,NA,9.626666667,Y,460,25,6/1/21,eye,23,24.6,,,,
WPuW,F,adult,812,81.2,434.2,12.82666667,Y,384.5,23,6/1/21,eye,22.1,29.1,,,,
WWA,F,adult,954,95.4,464.1,11.1,N,385,22.5,5/30/21,eye,21.2,35.9,,,,
WWB,F,adult,763,76.3,336.7,1.846666667,N,405.5,22.5,5/27/21,eye,19.9,20.2,,,,
WWG,F,adult,1011,101.1,524.1,10.5,N,363,24.5,5/28/21,eye,23.4,20.7,,,,
YBY,M,adult,985,98.5,NA,13.63333333,NA,408,25,5/28/21,eye,24,25.2,,,,
YRP,M,adult,702,70.2,247.2,10.24,NA,NA,26.5,6/1/21,eye,24.5,23.1,,,,
YYP,M,adult,811,81.1,382.3,14.12,NA,388.5,26,5/29/21,eye,23.2,26.9,,,,
AAR,M,adult,731,73.1,300.5,9.11,NA,409,25,5/29/21,ventrum,21.3,26,,,,
ABG,M,adult,933,93.3,690.4,30.46,NA,369,23,5/30/21,ventrum,22.4,33.4,,,,
ABPu,M,adult,520,52,86.2,15.43,NA,353,26,5/29/21,ventrum,22.6,27.4,,,,
ABR,M,adult,780,78,318.8,27.03666667,NA,410.5,25,5/28/21,ventrum,23.9,21.9,,,,
ABW,M,adult,1014,101.4,877.1,15.38,NA,383,16,5/26/21,ventrum,18.3,35,,,,
ABY,M,adult,953,95.3,603.6,19.52333333,NA,443.6666667,18,5/23/21,ventrum,18.8,27.1,,,,
AGG,M,adult,611,61.1,159,10.08666667,NA,402.6666667,25,6/1/21,ventrum,24.3,22.4,,,,
AGR,M,adult,693,69.3,215.5,19.29333333,NA,417.3333333,24,5/29/21,ventrum,21.2,26.6,,,,
AGW,M,adult,876,87.6,505.4,9.72,NA,396,20.5,5/26/21,ventrum,20,26.9,,,,
AGY,M,adult,792,79.2,405.3,15.58,NA,402,18,5/23/21,ventrum,19.6,25.8,,,,
ARP,M,adult,915,91.5,652,23.22666667,NA,424,23,5/30/21,ventrum,22.5,33.3,,,,
ARR,M,adult,912,91.2,452.4,12.70666667,NA,530,26,5/29/21,ventrum,23.6,26.1,,,,
ARY,M,adult,971,97.1,741.7,14.81,NA,423.6666667,18,5/23/21,ventrum,19.9,23.6,,,,
AYY,M,adult,675,67.5,204.5,20.74333333,NA,453,18,5/23/21,ventrum,20.2,26.1,,,,
